EmpID,Name,Department,Gender,Experience,Salary
101,Employee_1,IT,Female,7,48949
102,Employee_2,Finance,Male,5,43345
103,Employee_3,Marketing,Female,8,40630
104,Employee_4,IT,Female,14,68852
105,Employee_5,Marketing,Male,2,29913
106,Employee_6,Finance,Female,18,70945
107,Employee_7,IT,Female,17,72761
108,Employee_8,Finance,Male,2,41146
109,Employee_9,Finance,Female,5,47883
110,Employee_10,Sales,Male,15,52032
111,Employee_11,Sales,Female,10,45983
112,Employee_12,HR,Male,14,53271
113,Employee_13,Sales,Male,10,48972
114,Employee_14,Finance,Female,11,52265
115,Employee_15,Marketing,Female,9,46873
116,Employee_16,Finance,Female,18,66434
117,Employee_17,Marketing,Female,4,36206
118,Employee_18,IT,Female,5,51509
119,Employee_19,Finance,Male,15,65917
120,Employee_20,Finance,Male,11,54691
121,Employee_21,Sales,Female,5,36087
122,Employee_22,Sales,Female,20,67446
123,Employee_23,Sales,Male,6,38400
124,Employee_24,Marketing,Female,5,39747
125,Employee_25,Sales,Male,15,51988
126,Employee_26,Finance,Male,11,55840
127,Employee_27,Sales,Male,6,38291
128,Employee_28,Marketing,Male,18,63497
129,Employee_29,HR,Female,2,30215
130,Employee_30,Sales,Male,14,52332
131,Employee_31,HR,Female,2,30473
132,Employee_32,IT,Female,10,55437
133,Employee_33,HR,Male,5,30687
134,Employee_34,Finance,Male,10,56568
135,Employee_35,HR,Female,15,53364
136,Employee_36,Finance,Male,1,35583
137,Employee_37,Marketing,Male,3,32872
138,Employee_38,Sales,Male,16,60078
139,Employee_39,IT,Female,7,51877
140,Employee_40,Marketing,Female,12,53846
141,Employee_41,IT,Female,9,54414
142,Employee_42,IT,Male,15,69483
143,Employee_43,Sales,Male,16,57115
144,Employee_44,Finance,Female,6,43135
145,Employee_45,HR,Male,13,47383
146,Employee_46,Sales,Male,2,30970
147,Employee_47,Sales,Female,13,51728
148,Employee_48,HR,Male,1,27125
149,Employee_49,Finance,Male,6,49008
150,Employee_50,Finance,Male,5,46274
151,Employee_51,IT,Male,14,66178
152,Employee_52,Finance,Male,10,51987
153,Employee_53,IT,Male,5,51033
154,Employee_54,HR,Female,18,55399
155,Employee_55,HR,Female,6,39527
156,Employee_56,HR,Male,3,30959
157,Employee_57,HR,Male,9,40291
158,Employee_58,Marketing,Male,11,46406
159,Employee_59,Marketing,Female,1,34822
160,Employee_60,Sales,Female,5,40789
